FBgn,X114,X115,X116,X117
FBgn0052069,0.113333,0.260667,0.450667,0.175
FBgn0034971,0.1082,0.2624,0.481,0.1484
FBgn0041604,0.3355,0.3475,0.185,0.132
FBgn0052190,0.079,0.223333,0.57,0.128333
FBgn0052230,0.2995,0.0695,0.1085,0.5225
FBgn0052451,0.108,0.45,0.333,0.109333
FBgn0052473,0.263333,0.189333,0.205333,0.342
FBgn0052536,0.084,0.49,0.312,0.114
FBgn0031530,0.096,0.602,0.2,0.102
FBgn0024753,0.313,0.3104,0.226543,0.150029
FBgn0052632,0.0575,0.263,0.5145,0.165
FBgn0027066,0.298333,0.139333,0.146,0.415667
FBgn0052675,0.071,0.319,0.468,0.142
FBgn0067052,0.279,0.384,0.2335,0.1035
FBgn0010338,0.067,0.581,0.257,0.095
FBgn0014009,0.20275,0.322375,0.335,0.13975
FBgn0052699,0.079,0.348,0.452,0.12
FBgn0028327,0.06,0.304,0.506,0.13
FBgn0040384,0.107,0.35,0.421,0.122
FBgn0003447,0.561,0.182,0.148,0.108
FBgn0053087,0.3295,0.346,0.2235,0.10025
FBgn0053096,0.320833,0.287833,0.25,0.1415
FBgn0013998,0.266167,0.292833,0.172667,0.268333
FBgn0003137,0.1945,0.493,0.2145,0.0985
FBgn0069242,0.0876667,0.255667,0.517667,0.139333
FBgn0053113,0.0678491,0.208113,0.560226,0.163811
FBgn0053129,0.107684,0.240447,0.505237,0.146632
FBgn0014026,0.1274,0.205,0.2797,0.3884
FBgn0011509,0.0965,0.124,0.61625,0.16325
FBgn0016700,0.3052,0.3682,0.213267,0.1136
FBgn0053214,0.0951667,0.645333,0.162667,0.0968333
FBgn0002528,0.147857,0.313286,0.387571,0.151429
FBgn0023174,0.334,0.187,0.165,0.314
FBgn0053303,0.0887692,0.273385,0.505462,0.132308
FBgn0001075,0.206,0.2585,0.3265,0.209
FBgn0053523,0.1226,0.3194,0.4246,0.1334
FBgn0024211,0.222,0.3815,0.222,0.175
FBgn0015737,0.095,0.202143,0.547286,0.155714
FBgn0034999,0.155,0.403,0.258,0.184
FBgn0010408,0.292,0.17575,0.15175,0.38075
FBgn0036008,0.133,0.261,0.445,0.16
FBgn0030731,0.117,0.087,0.288,0.5085
FBgn0011327,0.3635,0.1295,0.1615,0.3455
FBgn0028685,0.462,0.145,0.153,0.239
FBgn0000055,0.533,0.231,0.132,0.104
FBgn0034792,0.303,0.089,0.134,0.474
FBgn0034791,0.1135,0.462,0.3285,0.0955
FBgn0015816,0.1275,0.347,0.3305,0.195
FBgn0030733,0.251,0.069,0.13,0.549
FBgn0029709,0.0954286,0.311429,0.449429,0.143429
FBgn0040918,0.092,0.183,0.571,0.154
FBgn0011211,0.34719,0.0887619,0.0960952,0.468048
FBgn0034724,0.357,0.361667,0.188,0.0936667
FBgn0031245,0.09,0.213,0.548,0.15
FBgn0026875,0.412,0.208,0.213,0.167
FBgn0010078,0.22125,0.244,0.241,0.294
FBgn0014010,0.28075,0.2905,0.28825,0.14075
FBgn0000635,0.300179,0.319036,0.252429,0.128464
FBgn0031590,0.078,0.181,0.576,0.166
FBgn0003391,0.261571,0.225571,0.347714,0.165143
FBgn0004551,0.11822,0.290493,0.44726,0.143924
FBgn0038271,0.2946,0.1078,0.1118,0.4856
FBgn0034751,0.2535,0.1365,0.1415,0.469
FBgn0012036,0.265667,0.0908333,0.0856667,0.558167
FBgn0022343,0.277,0.138333,0.129667,0.455667
FBgn0020367,0.3885,0.207,0.255,0.1495
FBgn0031662,0.113,0.3085,0.443,0.1345
FBgn0034802,0.237,0.159,0.1485,0.4555
FBgn0029866,0.2472,0.2526,0.3396,0.1606
FBgn0010488,0.229,0.145,0.176,0.45
FBgn0026708,0.32375,0.12025,0.108,0.44825
FBgn0031670,0.078,0.305,0.477,0.141
FBgn0036824,0.2965,0.0925,0.086,0.5255
FBgn0005533,0.167,0.16,0.107,0.565
FBgn0017567,0.381,0.0595,0.071,0.488
FBgn0015393,0.159333,0.129,0.109667,0.601667
FBgn0036650,0.097,0.269,0.471,0.163
FBgn0036816,0.33275,0.22675,0.2915,0.149
FBgn0020370,0.222692,0.0955385,0.0841538,0.597538
FBgn0003071,0.464,0.145,0.151,0.239
FBgn0040078,0.2055,0.1535,0.1845,0.456
FBgn0033800,0.094,0.2935,0.4325,0.18
FBgn0034743,0.200833,0.156167,0.132833,0.510167
FBgn0002593,0.256875,0.277125,0.23675,0.2295
FBgn0028336,0.2835,0.1425,0.084,0.49
FBgn0038017,0.174,0.479,0.226,0.121
FBgn0004648,0.113424,0.528939,0.242727,0.115061
FBgn0026061,0.357,0.304,0.223,0.1155
FBgn0003285,0.3035,0.3385,0.204,0.1545
FBgn0026208,0.139,0.143,0.1815,0.5365
FBgn0001218,0.0891538,0.276667,0.492205,0.142077
FBgn0002524,0.099,0.303,0.48,0.118
FBgn0031256,0.154667,0.244667,0.442667,0.158
FBgn0036642,0.354667,0.0963333,0.107333,0.441333
FBgn0001225,0.3365,0.1095,0.1725,0.381
FBgn0015791,0.311,0.339,0.241,0.108
FBgn0011708,0.1045,0.424,0.3105,0.1615
FBgn0038805,0.3305,0.1135,0.1125,0.4435
FBgn0038376,0.244667,0.191667,0.247333,0.316333
FBgn0001125,0.297111,0.0824444,0.0684444,0.552333
FBgn0015567,0.3516,0.1884,0.2774,0.1828
FBgn0001219,0.407643,0.184286,0.1795,0.228643
FBgn0016691,0.362286,0.0737143,0.0924286,0.471571
FBgn0010438,0.3985,0.144,0.184,0.2735
FBgn0036279,0.3245,0.2395,0.3025,0.1335
FBgn0037024,0.3055,0.2605,0.1775,0.2565
FBgn0000667,0.407,0.225,0.238,0.131
FBgn0028479,0.2976,0.0844,0.0947,0.5236
FBgn0039073,0.1345,0.289,0.3775,0.1995
FBgn0016119,0.3175,0.079,0.0725,0.531
FBgn0010256,0.1935,0.122,0.154,0.5305
FBgn0010412,0.19675,0.13175,0.154,0.5175
FBgn0001226,0.3625,0.124,0.14325,0.37
FBgn0026170,0.284,0.149,0.15,0.417
FBgn0029903,0.373,0.225,0.201,0.201
FBgn0027080,0.28,0.173,0.192,0.355
FBgn0025352,0.271,0.0953333,0.105667,0.527333
FBgn0013349,0.406,0.253,0.2,0.141667
FBgn0029924,0.073,0.061,0.309,0.558
FBgn0027108,0.23975,0.24125,0.34075,0.178
FBgn0040064,0.328,0.0928,0.08,0.4992
FBgn0026616,0.074,0.606,0.215667,0.104333
FBgn0011272,0.140923,0.198231,0.281077,0.379692
FBgn0033814,0.107,0.25,0.387,0.256
FBgn0033816,0.315667,0.109667,0.122,0.453
FBgn0039349,0.291,0.069,0.111,0.529
FBgn0035032,0.363,0.0705,0.063,0.504
FBgn0011260,0.119,0.299333,0.422,0.159933
FBgn0038742,0.308,0.1275,0.129,0.4355
FBgn0036623,0.1,0.1963,0.5584,0.1443
FBgn0043456,0.101,0.112,0.171,0.616
FBgn0036622,0.0993333,0.173,0.565,0.162667
FBgn0011584,0.082,0.2505,0.489,0.1785
FBgn0035600,0.331,0.085,0.134,0.451
FBgn0035602,0.082,0.326,0.46,0.131
FBgn0030792,0.116667,0.326,0.408667,0.148333
FBgn0011823,0.303,0.256,0.228,0.213
FBgn0037874,0.528,0.189,0.18,0.104
FBgn0037010,0.104,0.282,0.488,0.127
FBgn0030796,0.528,0.276,0.1335,0.062
